Image,Window,R,G,B
40.jpg,H_80,29.481875000000002,100.49187500000001,119.3875
41.jpg,W_Ref,159.885,183.035,157.56875
41.jpg,B_Ref,18.650000000000002,18.05875,14.07875
41.jpg,H_20,86.500625,155.37625,162.43625
41.jpg,H_40,73.9475,156.350625,172.40562500000001
41.jpg,H_60,49.55375,141.630625,163.12
41.jpg,H_80,30.341250000000002,99.97875,120.005
42.jpg,W_Ref,160.71,183.635,157.79625000000001
42.jpg,B_Ref,18.769375,17.600625,13.26125
42.jpg,H_20,86.105625,154.76250000000002,162.213125
42.jpg,H_40,73.216875,156.731875,172.139375
42.jpg,H_60,48.473125,141.33625,164.43375
42.jpg,H_80,29.541875,101.06625,119.8575
43.jpg,W_Ref,160.1225,183.04,157.20125000000002
43.jpg,B_Ref,18.4225,18.271250000000002,13.69125
43.jpg,H_20,87.064375,155.53062500000001,161.0825
43.jpg,H_40,74.083125,156.698125,172.33375
43.jpg,H_60,50.589375000000004,141.74625,164.38750000000002
43.jpg,H_80,29.464375,100.78625,119.955625
44.jpg,W_Ref,160.75,183.0,157.21875
44.jpg,B_Ref,18.20125,18.17125,14.07875
44.jpg,H_20,86.564375,155.140625,161.46812500000001
44.jpg,H_40,74.080625,156.534375,172.754375
44.jpg,H_60,49.334375,140.90312500000002,165.224375
44.jpg,H_80,29.20125,100.664375,120.09625
45.jpg,W_Ref,159.995,182.79625000000001,157.64875
45.jpg,B_Ref,18.491875,17.8875,14.903125000000001
45.jpg,H_20,86.618125,155.0475,161.24687500000002
45.jpg,H_40,73.47875,156.26625,172.458125
45.jpg,H_60,49.84375,141.736875,162.81125
45.jpg,H_80,29.61375,100.39375,119.91375000000001
46.jpg,W_Ref,159.34,183.27125,157.965
46.jpg,B_Ref,18.700625,17.810625,12.54875
46.jpg,H_20,86.1775,155.710625,160.13750000000002
46.jpg,H_40,73.6175,156.59875,173.025
46.jpg,H_60,49.918125,141.1425,164.324375
46.jpg,H_80,30.040625000000002,100.355625,119.70937500000001
47.jpg,W_Ref,160.20000000000002,183.0725,157.0525
47.jpg,B_Ref,18.771875,17.919375,14.396875
47.jpg,H_20,87.749375,154.20250000000001,163.255
47.jpg,H_40,73.955,156.268125,171.93437500000002
47.jpg,H_60,49.9275,141.451875,162.64625
47.jpg,H_80,29.380625000000002,100.0925,119.77375
48.jpg,W_Ref,160.400625,183.2525,156.63
48.jpg,B_Ref,18.859375,17.806875,12.60375
48.jpg,H_20,87.206875,154.70250000000001,162.74812500000002
48.jpg,H_40,74.505625,156.5425,172.73125000000002
48.jpg,H_60,50.4525,141.463125,163.26625
48.jpg,H_80,30.225625,100.12625,119.63125000000001
49.jpg,W_Ref,159.895,182.82375,156.98125000000002
49.jpg,B_Ref,18.305625,17.78625,14.31375
49.jpg,H_20,87.00687500000001,154.804375,163.5725
49.jpg,H_40,73.166875,156.750625,172.07375
49.jpg,H_60,48.625,142.1125,164.5375
49.jpg,H_80,29.369375,99.848125,120.13875
50.jpg,W_Ref,159.905,182.83375,156.99125
50.jpg,B_Ref,18.893125,17.973125,13.2125
50.jpg,H_20,87.38875,154.97125,162.651875
50.jpg,H_40,73.265625,156.833125,172.23
50.jpg,H_60,47.818125,141.625,163.509375
50.jpg,H_80,28.715,101.2275,120.24187500000001
51.jpg,W_Ref,160.175,183.06625,157.505
51.jpg,B_Ref,19.085,17.564375000000002,13.901250000000001
51.jpg,H_20,86.3125,154.985625,161.66
51.jpg,H_40,74.308125,156.285,171.93687500000001
51.jpg,H_60,48.31,141.58625,164.535625
51.jpg,H_80,29.518125,100.82875,120.265
52.jpg,W_Ref,159.8925,183.40625,156.6025
52.jpg,B_Ref,18.210625,18.071875000000002,13.698125000000001
52.jpg,H_20,86.4675,155.2075,162.82
52.jpg,H_40,73.618125,156.24875,171.819375
52.jpg,H_60,50.198125000000005,140.89875,164.665
52.jpg,H_80,28.76875,100.934375,119.89375
53.jpg,W_Ref,159.828125,182.785625,157.21812500000001
53.jpg,B_Ref,17.750625,18.155625,13.580625
53.jpg,H_20,87.3525,154.856875,162.828125
53.jpg,H_40,73.8725,156.87625,172.715
53.jpg,H_60,48.63875,141.475,164.858125
53.jpg,H_80,29.983125,100.305,119.806875
54.jpg,W_Ref,160.12,183.01125,157.47375
54.jpg,B_Ref,18.00125,18.701875,13.068125
54.jpg,H_20,86.764375,154.973125,161.264375
54.jpg,H_40,73.118125,156.478125,173.6125
54.jpg,H_60,50.155,141.75125,163.689375
54.jpg,H_80,29.841875,101.015,120.35375
55.jpg,W_Ref,160.535,182.44625,157.75
55.jpg,B_Ref,18.46,18.099375000000002,12.7675
55.jpg,H_20,87.785,154.516875,162.865
55.jpg,H_40,74.321875,156.90125,172.38375
55.jpg,H_60,49.55375,141.54125,163.958125
55.jpg,H_80,30.243750000000002,100.645625,119.104375
56.jpg,W_Ref,160.25,183.3325,156.3425
56.jpg,B_Ref,18.495,18.2925,13.51125
56.jpg,H_20,86.789375,154.885,162.03875
56.jpg,H_40,72.94437500000001,155.9375,171.2175
56.jpg,H_60,48.38125,142.055625,163.156875
56.jpg,H_80,29.825625000000002,100.090625,119.629375
57.jpg,W_Ref,160.12,182.95125000000002,157.41
57.jpg,B_Ref,18.19125,18.38,14.088750000000001
57.jpg,H_20,85.61875,155.77125,162.501875
57.jpg,H_40,73.61687500000001,156.83,172.86375
57.jpg,H_60,49.925625000000004,141.17000000000002,163.51625
57.jpg,H_80,30.296875,100.2175,119.67937500000001
58.jpg,W_Ref,159.8325,182.84375,156.375
58.jpg,B_Ref,18.424375,18.025625,14.105625
58.jpg,H_20,85.7975,155.609375,161.1525
58.jpg,H_40,74.57625,156.518125,172.128125
58.jpg,H_60,49.972500000000004,141.51,164.165
58.jpg,H_80,30.020625,100.55437500000001,120.13
59.jpg,W_Ref,160.18437500000002,182.855,157.375
59.jpg,B_Ref,18.370625,18.41,13.0
59.jpg,H_20,86.785,155.57500000000002,161.545625
59.jpg,H_40,74.165,156.57750000000001,171.770625
59.jpg,H_60,50.292500000000004,141.510625,165.633125
59.jpg,H_80,29.6525,100.863125,120.489375
60.jpg,W_Ref,160.195,183.12375,157.28125
60.jpg,B_Ref,17.875625,18.175625,14.0475
60.jpg,H_20,86.65875,155.276875,161.880625
60.jpg,H_40,73.526875,157.04,172.745625
60.jpg,H_60,48.78875,141.913125,163.125625
60.jpg,H_80,29.35375,100.23625,119.764375
61.jpg,W_Ref,160.175,183.1975,156.72875
61.jpg,B_Ref,18.420625,18.279375,12.66
61.jpg,H_20,86.993125,155.539375,161.17000000000002
61.jpg,H_40,73.64,156.839375,172.815
61.jpg,H_60,48.487500000000004,141.595,163.256875
61.jpg,H_80,29.200625000000002,100.52375,120.27250000000001
62.jpg,W_Ref,159.84,182.76875,156.92625
62.jpg,B_Ref,19.020625,17.771875,13.299375
62.jpg,H_20,87.54875,154.7475,163.338125
